SIGLA,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Cluster
AC,1336.3595505617975,1097.6902654867256,986.6183206106872,902.5704697986578,772.0386740331492,973.6577181208054,912.3575757575758,858.0824175824176,1005.9316770186336,1343.304,1581.4818181818182,1474.795081967213,1673.6756756756756,2127.677777777778,0
AL,2386.6937984496126,2384.5283018867926,2426.5205992509364,2234.144781144781,1961.7485549132948,1779.225641025641,1480.7453027139877,1640.6425339366515,1457.0884086444007,1756.361111111111,1897.9022004889976,1880.675355450237,2785.591065292096,2270.164835164835,2
AM,2345.567346938776,1851.495356037152,1671.860215053763,1546.2631578947369,1446.4288793103449,1398.64859437751,1214.7159663865546,1186.509493670886,1359.937062937063,1738.8125,2016.01686746988,1989.4449541284405,2160.598557692308,2119.98401826484,2
AP,1705.1666666666667,1740.3387096774193,1182.8125,895.781954887218,1133.081818181818,1205.2592592592594,1036.3587786259543,1039.845588235294,1000.6326530612243,1068.3286713286714,1331.5042016806722,1547.301886792453,5650.266666666666,4163.690476190476,2
BA,2502.0176767676767,2518.455748552523,2353.24679245283,2016.2659507264689,1554.8080952380951,1610.1210221793635,1382.4144071226224,1290.622369878184,1268.1795325779035,1587.2762645914397,1751.2916279069768,1715.237672145713,1968.416417910448,1861.949402023919,2
CE,3124.2714285714287,2597.0318379160635,2279.4237918215613,2153.24,1457.1058201058202,1565.801429706116,1416.617006324666,1287.945034353529,1143.29360780065,1305.1557971014493,1410.627788400255,1569.6382536382537,1506.6929082628496,1551.031496062992,2
DF,1096.7178988326848,954.9410801963992,761.6994949494949,654.546218487395,570.5749778172138,540.6210268948655,490.1676217765043,537.7738004569687,553.0235204855842,740.0639134709932,941.8715151515152,911.6405005688282,938.3560864618884,942.7561247216036,0
ES,1096.1840101522844,1000.5880361173816,871.6055662188099,799.8010335917313,794.3461860854987,663.1105010295126,706.2044476327117,700.9615653389238,656.9961439588689,908.598953792502,982.995374653099,1109.888319672131,966.6339754816112,974.6036426712924,0
GO,1747.5445292620866,1617.0170648464164,1426.485436893204,1149.647460197119,891.4495151169424,923.4113597246128,820.1128712871288,830.5034113060428,858.9289215686274,1012.238336143901,1011.8068927789934,1052.1541019955655,1119.7393555811277,1014.4114052953156,0
MA,4006.831034482759,3808.699680511182,2910.057142857143,2911.220930232558,2618.9754601227,2398.959706959707,2193.7626841243864,2186.765923566879,2157.894333843798,2358.192182410424,2482.0983333333334,2692.8822495606328,3031.6403846153844,2978.891544117647,1
MG,1416.1825304701104,1368.1110195108547,1187.8173302107728,1028.5653907496012,816.7936408977556,763.7105527638191,840.7828322168563,736.7705866523144,725.850947093403,799.0663077359026,874.2119407543137,918.8829854522454,861.5566272102878,830.7241762824968,0
MS,1585.0901408450704,1400.501210653753,1318.9533333333334,1213.36127744511,975.734693877551,948.8938714499252,899.9361111111111,836.0290771175727,867.6221079691517,962.56843575419,1087.70942812983,1064.2755555555557,1182.0193548387097,1082.036231884058,0
MT,1811.5851648351647,1433.4117647058824,1300.7324723247232,1057.2252906976744,883.7594339622641,807.1223849372385,769.547480620155,702.2560137457044,713.2186440677966,772.5374331550802,925.2290155440414,898.02734375,1017.8451612903226,822.8934010152284,0
