SIGLA,Year,Population,State,Number of Companies,Population-to-Companies Ratio
AC,2007,118936,Acre,89,1336.3595505617977
AL,2007,615767,Alagoas,258,2386.6937984496126
AM,2007,574664,Amazonas,245,2345.5673469387757
AP,2007,102310,Amapá,60,1705.1666666666667
BA,2007,2972397,Bahia,1188,2502.0176767676767
CE,2007,1749592,Ceará,560,3124.2714285714287
DF,2007,563713,Distrito Federal,514,1096.7178988326848
ES,2007,863793,Espírito Santo,788,1096.1840101522844
GO,2007,1373570,Goiás,786,1747.5445292620866
MA,2007,1161981,Maranhão,290,4006.8310344827587
MG,2007,4880165,Minas Gerais,3446,1416.1825304701104
MS,2007,562707,Mato Grosso do Sul,355,1585.0901408450704
MT,2007,659417,Mato Grosso,364,1811.5851648351647
PA,2007,1335878,Pará,550,2428.869090909091
PB,2007,803743,Paraíba,379,2120.6939313984167
PE,2007,1893680,Pernambuco,959,1974.6402502606882
PI,2007,648788,Piauí,205,3164.819512195122
PR,2007,2632507,Paraná,2123,1239.9938765897316
RJ,2007,4316520,Rio de Janeiro,2546,1695.41241162608
RN,2007,678512,Rio Grande do Norte,427,1589.0210772833723
RO,2007,322603,Rondônia,192,1680.2239583333333
RR,2007,75895,Roraima,69,1099.927536231884
RS,2007,2948384,Rio Grande do Sul,2567,1148.5718737826257
SC,2007,1590545,Santa Catarina,1878,846.9355697550586
SE,2007,419398,Sergipe,241,1740.240663900415
SP,2007,10506732,São Paulo,8289,1267.5512124502352
TO,2007,265361,Tocantins,147,1805.1768707482993
AC,2008,124039,Acre,113,1097.6902654867256
AL,2008,631900,Alagoas,265,2384.5283018867926
AM,2008,598033,Amazonas,323,1851.4953560371516
AP,2008,107901,Amapá,62,1740.3387096774193
BA,2008,3044813,Bahia,1209,2518.455748552523
CE,2008,1794549,Ceará,691,2597.0318379160635
DF,2008,583469,Distrito Federal,611,954.9410801963993
ES,2008,886521,Espírito Santo,886,1000.5880361173815
GO,2008,1421358,Goiás,879,1617.0170648464164
MA,2008,1192123,Maranhão,313,3808.699680511182
MG,2008,4978556,Minas Gerais,3639,1368.1110195108547
MS,2008,578407,Mato Grosso do Sul,413,1400.501210653753
MT,2008,682304,Mato Grosso,476,1433.4117647058824
PA,2008,1382762,Pará,558,2478.0681003584227
PB,2008,822595,Paraíba,402,2046.2562189054727
PE,2008,1939520,Pernambuco,909,2133.6853685368537
PI,2008,663067,Piauí,238,2785.9957983193276
PR,2008,2694871,Paraná,2265,1189.7885209713024
RJ,2008,4379923,Rio de Janeiro,2475,1769.6658585858586
RN,2008,697424,Rio Grande do Norte,521,1338.6257197696737
RO,2008,334255,Rondônia,179,1867.3463687150838
RR,2008,79238,Roraima,72,1100.5277777777778
RS,2008,2980402,Rio Grande do Sul,2824,1055.3831444759207
SC,2008,1632892,Santa Catarina,1980,824.6929292929293
SE,2008,433519,Sergipe,254,1706.767716535433
SP,2008,10735397,São Paulo,9004,1192.2919813416258
TO,2008,274204,Tocantins,153,1792.1830065359477
AC,2009,129247,Acre,131,986.6183206106871
AL,2009,647881,Alagoas,267,2426.5205992509364
AM,2009,621932,Amazonas,372,1671.8602150537633
AP,2009,113550,Amapá,96,1182.8125
BA,2009,3118052,Bahia,1325,2353.24679245283
CE,2009,1839495,Ceará,807,2279.4237918215613
DF,2009,603266,Distrito Federal,792,761.6994949494949
ES,2009,908213,Espírito Santo,1042,871.6055662188099
GO,2009,1469280,Goiás,1030,1426.485436893204
MA,2009,1222224,Maranhão,420,2910.057142857143
MG,2009,5071980,Minas Gerais,4270,1187.8173302107728
MS,2009,593529,Mato Grosso do Sul,450,1318.9533333333334
MT,2009,704997,Mato Grosso,542,1300.7324723247232
PA,2009,1430311,Pará,572,2500.5437062937062
PB,2009,841578,Paraíba,521,1615.3128598848368
