State,Year,Number of Companies
Rondônia,2007,192
Rondônia,2008,179
Rondônia,2009,242
Rondônia,2010,293
Rondônia,2011,358
Rondônia,2012,339
Rondônia,2013,368
Rondônia,2014,347
Rondônia,2015,384
Rondônia,2016,325
Rondônia,2017,264
Rondônia,2018,274
Rondônia,2019,272
Rondônia,2020,296
Acre,2007,89
Acre,2008,113
Acre,2009,131
Acre,2010,149
Acre,2011,181
Acre,2012,149
Acre,2013,165
Acre,2014,182
Acre,2015,161
Acre,2016,125
Acre,2017,110
Acre,2018,122
Acre,2019,111
Acre,2020,90
Amazonas,2007,245
Amazonas,2008,323
Amazonas,2009,372
Amazonas,2010,418
Amazonas,2011,464
Amazonas,2012,498
Amazonas,2013,595
Amazonas,2014,632
Amazonas,2015,572
Amazonas,2016,464
Amazonas,2017,415
Amazonas,2018,436
Amazonas,2019,416
Amazonas,2020,438
Roraima,2007,69
Roraima,2008,72
Roraima,2009,86
Roraima,2010,81
Roraima,2011,78
Roraima,2012,72
Roraima,2013,76
Roraima,2014,88
Roraima,2015,99
Roraima,2016,82
Roraima,2017,76
Roraima,2018,70
Roraima,2019,82
Roraima,2020,54
Pará,2007,550
Pará,2008,558
Pará,2009,572
Pará,2010,637
Pará,2011,725
Pará,2012,763
Pará,2013,831
Pará,2014,956
Pará,2015,959
Pará,2016,691
Pará,2017,799
Pará,2018,805
Pará,2019,647
Pará,2020,619
Amapá,2007,60
Amapá,2008,62
Amapá,2009,96
Amapá,2010,133
Amapá,2011,110
Amapá,2012,108
Amapá,2013,131
Amapá,2014,136
Amapá,2015,147
Amapá,2016,143
Amapá,2017,119
Amapá,2018,106
Amapá,2019,30
Amapá,2020,42
Tocantins,2007,147
Tocantins,2008,153
Tocantins,2009,163
Tocantins,2010,203
Tocantins,2011,247
Tocantins,2012,230
Tocantins,2013,258
Tocantins,2014,327
Tocantins,2015,341
Tocantins,2016,287
Tocantins,2017,262
Tocantins,2018,278
Tocantins,2019,230
Tocantins,2020,284
Maranhão,2007,290
Maranhão,2008,313
Maranhão,2009,420
Maranhão,2010,430
Maranhão,2011,489
Maranhão,2012,546
Maranhão,2013,611
Maranhão,2014,628
Maranhão,2015,653
Maranhão,2016,614
Maranhão,2017,600
Maranhão,2018,569
Maranhão,2019,520
Maranhão,2020,544
Piauí,2007,205
Piauí,2008,238
Piauí,2009,307
Piauí,2010,313
Piauí,2011,350
Piauí,2012,362
Piauí,2013,392
Piauí,2014,484
Piauí,2015,467
Piauí,2016,399
Piauí,2017,381
Piauí,2018,499
Piauí,2019,491
Piauí,2020,447
Ceará,2007,560
Ceará,2008,691
Ceará,2009,807
Ceará,2010,875
Ceará,2011,1323
Ceará,2012,1259
Ceará,2013,1423
Ceará,2014,1601
Ceará,2015,1846
Ceará,2016,1656
Ceará,2017,1569
Ceará,2018,1443
Ceará,2019,1537
Ceará,2020,1524
Rio Grande do Norte,2007,427
Rio Grande do Norte,2008,521
Rio Grande do Norte,2009,642
Rio Grande do Norte,2010,657
Rio Grande do Norte,2011,774
Rio Grande do Norte,2012,798
Rio Grande do Norte,2013,867
Rio Grande do Norte,2014,1037
Rio Grande do Norte,2015,962
Rio Grande do Norte,2016,914
Rio Grande do Norte,2017,855
Rio Grande do Norte,2018,764
Rio Grande do Norte,2019,723
Rio Grande do Norte,2020,795
Paraíba,2007,379
Paraíba,2008,402
Paraíba,2009,521
Paraíba,2010,629
Paraíba,2011,893
Paraíba,2012,952
Paraíba,2013,1009
Paraíba,2014,1172
Paraíba,2015,1228
Paraíba,2016,1126
Paraíba,2017,1096
Paraíba,2018,1025
Paraíba,2019,914
Paraíba,2020,958
Pernambuco,2007,959
Pernambuco,2008,909
Pernambuco,2009,984
Pernambuco,2010,1136
Pernambuco,2011,1429
Pernambuco,2012,1397
Pernambuco,2013,1609
Pernambuco,2014,1614
Pernambuco,2015,1556
Pernambuco,2016,1820
Pernambuco,2017,1604
Pernambuco,2018,1345
Pernambuco,2019,1502
Pernambuco,2020,1468
Alagoas,2007,258
Alagoas,2008,265
Alagoas,2009,267
Alagoas,2010,297
