State,Correlation
AC,-0.17779255396991192
AL,0.5997595794044764
AM,0.3722033539625965
AP,0.03844239552326173
BA,0.6831669754674752
CE,0.829170117048938
DF,0.19169594944482812
ES,0.09223938450679102
GO,0.7995556626751141
MA,0.7329845543714603
MG,0.7822707104491815
MS,0.756099734629108
MT,0.8294010272048401
PA,0.4960707655807761
PB,0.7764135262085602
PE,0.6496056500496942
PI,0.9057838162698579
PR,0.8793588286304169
RJ,0.3965050061070932
RN,0.6117744832977728
RO,0.3275873002836658
RR,-0.32185354094203383
RS,0.8498695020249402
SC,0.8497224277135409
SE,0.621961681988852
SP,0.8461658509355989
TO,0.7516835255663235
