SIGLA,Year,Population,Number of Companies,Population-to-Companies Ratio
AC,2007,118936.0,89.0,1336.3595505617977
AL,2007,615767.0,258.0,2386.6937984496126
AM,2007,574664.0,245.0,2345.5673469387757
AP,2007,102310.0,60.0,1705.1666666666667
BA,2007,2972397.0,1188.0,2502.0176767676767
CE,2007,1749592.0,560.0,3124.2714285714287
DF,2007,563713.0,514.0,1096.7178988326848
ES,2007,863793.0,788.0,1096.1840101522844
GO,2007,1373570.0,786.0,1747.5445292620866
MA,2007,1161981.0,290.0,4006.8310344827587
MG,2007,4880165.0,3446.0,1416.1825304701104
MS,2007,562707.0,355.0,1585.0901408450704
MT,2007,659417.0,364.0,1811.5851648351647
PA,2007,1335878.0,550.0,2428.869090909091
PB,2007,803743.0,379.0,2120.6939313984167
PE,2007,1893680.0,959.0,1974.6402502606882
PI,2007,648788.0,205.0,3164.819512195122
PR,2007,2632507.0,2123.0,1239.9938765897316
RJ,2007,4316520.0,2546.0,1695.41241162608
RN,2007,678512.0,427.0,1589.0210772833723
RO,2007,322603.0,192.0,1680.2239583333333
RR,2007,75895.0,69.0,1099.927536231884
RS,2007,2948384.0,2567.0,1148.5718737826257
SC,2007,1590545.0,1878.0,846.9355697550586
SE,2007,419398.0,241.0,1740.240663900415
SP,2007,10506732.0,8289.0,1267.5512124502352
TO,2007,265361.0,147.0,1805.1768707482993
AC,2008,124039.0,113.0,1097.6902654867256
AL,2008,631900.0,265.0,2384.5283018867926
AM,2008,598033.0,323.0,1851.4953560371516
AP,2008,107901.0,62.0,1740.3387096774193
BA,2008,3044813.0,1209.0,2518.455748552523
CE,2008,1794549.0,691.0,2597.0318379160635
DF,2008,583469.0,611.0,954.9410801963993
ES,2008,886521.0,886.0,1000.5880361173815
GO,2008,1421358.0,879.0,1617.0170648464164
MA,2008,1192123.0,313.0,3808.699680511182
MG,2008,4978556.0,3639.0,1368.1110195108547
MS,2008,578407.0,413.0,1400.501210653753
MT,2008,682304.0,476.0,1433.4117647058824
PA,2008,1382762.0,558.0,2478.0681003584227
PB,2008,822595.0,402.0,2046.2562189054727
PE,2008,1939520.0,909.0,2133.6853685368537
PI,2008,663067.0,238.0,2785.9957983193276
PR,2008,2694871.0,2265.0,1189.7885209713024
RJ,2008,4379923.0,2475.0,1769.6658585858586
RN,2008,697424.0,521.0,1338.6257197696737
RO,2008,334255.0,179.0,1867.3463687150838
RR,2008,79238.0,72.0,1100.5277777777778
RS,2008,2980402.0,2824.0,1055.3831444759207
SC,2008,1632892.0,1980.0,824.6929292929293
SE,2008,433519.0,254.0,1706.767716535433
SP,2008,10735397.0,9004.0,1192.2919813416258
TO,2008,274204.0,153.0,1792.1830065359477
AC,2009,129247.0,131.0,986.6183206106871
AL,2009,647881.0,267.0,2426.5205992509364
AM,2009,621932.0,372.0,1671.8602150537633
AP,2009,113550.0,96.0,1182.8125
BA,2009,3118052.0,1325.0,2353.24679245283
CE,2009,1839495.0,807.0,2279.4237918215613
DF,2009,603266.0,792.0,761.6994949494949
ES,2009,908213.0,1042.0,871.6055662188099
GO,2009,1469280.0,1030.0,1426.485436893204
MA,2009,1222224.0,420.0,2910.057142857143
MG,2009,5071980.0,4270.0,1187.8173302107728
